material,landfill,recycle,compost,combust,source_reduction,source,needs_human_check,warm_material
aluminum_cans,0.020254519141196047,-9.127378162105622,,0.03443222054502572,-4.799452726904927,WARM_v16_xls,false,Aluminum Cans
steel_cans,0.020254519141196047,-1.8320754180112897,,-1.5909481529405463,-3.027471662360841,WARM_v16_xls,false,Steel Cans
copper_wire,0.020254519141196047,-4.488828491750301,,0.029687293145218514,-6.721928991959251,WARM_v16_xls,false,Copper Wire
glass,0.020254519141196047,-0.2760901764592596,,0.02684033670533419,-0.530820874316884,WARM_v16_xls,false,Glass
hdpe,0.020254519141196047,-0.7584501948193252,,1.2859190946453891,-1.4192980914359248,WARM_v16_xls,false,HDPE
ldpe,0.020254519141196047,,,1.294118329192256,-1.795508578745541,WARM_v16_xls,false,LDPE
pet,0.020254519141196047,-1.0357206316437553,,1.2416663572872335,-2.1729152901086737,WARM_v16_xls,false,PET
corrugated_containers,0.18162984857485934,-3.1353369086789917,,-0.48903030248074875,-5.575208316082944,WARM_v16_xls,false,Corrugated Containers
magazines,-0.4268442093988676,-3.06969993959657,,-0.3535151759422549,-8.566228895806027,WARM_v16_xls,false,Magazines/third-class mail
newspaper,-0.8461388148391911,-2.70827152821093,,-0.5578886889067509,-4.677236526027995,WARM_v16_xls,false,Newspaper
office_paper,1.1338746968208027,-2.8637458899895774,,-0.4705820247502983,-7.94895899216696,WARM_v16_xls,false,Office Paper
phonebooks,-0.8461388148391911,-2.6222802143476724,,-0.5578886889067509,-6.165082635889792,WARM_v16_xls,false,Phonebooks
textbooks,1.1338746968208027,-3.1044786327343226,,-0.4705820247502983,-9.023763926715757,WARM_v16_xls,false,Textbooks
dimensional_lumber,-0.9234079689171634,-1.6595759283861717,,-0.5844602823456714,-2.1129433194407268,WARM_v16_xls,false,Dimensional Lumber
medium_density_fiberboard,-0.8538867821502174,,,-0.5844602823456714,-3.0454111003886863,WARM_v16_xls,false,Medium-density Fiberboard
structural_steel,0.020254519141196047,-1.9288102239875635,,,-1.6682402580960147,WARM_v16_xls,false,Structural Steel
food_waste,0.5014622340279833,,-0.15213492335194,-0.13426157065196354,-3.6597480795437827,WARM_v16_xls,false,Food Waste
food_waste_non_meat,0.5020869568523579,,-0.15213492335194,-0.13426157065196354,-0.761052089095053,WARM_v16_xls,false,Food Waste (non-meat)
food_waste_meat,0.46339271526250747,,-0.15213492335194,-0.13426157065196354,-15.102290225561314,WARM_v16_xls,false,Food Waste (meat only)
beef,0.4304426659323369,,-0.15213492335194,-0.13426157065196354,-30.086331335538,WARM_v16_xls,false,Beef
poultry,0.4912112802717651,,-0.15213492335194,-0.13426157065196354,-2.4517925725092473,WARM_v16_xls,false,Poultry
